order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,order_month
1,Diana,Tablet,2.0,500.0,2024-01-20,South,1000.0,1.0
2,Eve,Laptop,2.0,500.0,2024-04-29,North,1000.0,4.0
3,Charlie,Laptop,2.0,250.0,2024-01-08,Unknown,500.0,1.0
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,1.0
5,Eve,Tablet,3.0,500.0,2024-03-07,South,1500.0,3.0
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,1.0
7,Charlie,Monitor,2.0,750.0,2024-02-02,West,1500.0,2.0
8,Charlie,Laptop,3.0,500.0,2024-02-17,Unknown,1500.0,2.0
9,Charlie,Monitor,2.0,750.0,2024-03-16,West,1500.0,3.0
10,Eve,Monitor,1.0,500.0,2024-02-28,North,500.0,2.0
11,,Monitor,3.0,750.0,2024-04-24,West,2250.0,4.0
12,Charlie,Tablet,2.0,750.0,2024-03-26,East,1500.0,3.0
13,Frank,Tablet,1.0,750.0,2024-04-28,West,750.0,4.0
14,Eve,Tablet,1.0,500.0,2024-01-22,South,500.0,1.0
15,Bob,Laptop,1.0,500.0,2024-04-19,South,500.0,4.0
16,Diana,Monitor,3.0,750.0,,East,2250.0,
17,Frank,Tablet,2.0,500.0,2024-02-07,North,1000.0,2.0
18,Frank,Tablet,1.0,250.0,2024-04-11,South,250.0,4.0
19,Bob,Laptop,2.0,250.0,2024-04-18,Unknown,500.0,4.0
20,Diana,Tablet,1.0,500.0,2024-02-20,South,500.0,2.0
21,Eve,Laptop,1.0,500.0,2024-02-23,South,500.0,2.0
22,Alice,Phone,3.0,750.0,2024-01-08,North,2250.0,1.0
23,Diana,Tablet,3.0,500.0,2024-01-27,West,1500.0,1.0
24,Bob,Phone,2.0,500.0,2024-01-27,South,1000.0,1.0
25,Frank,Laptop,2.0,250.0,2024-04-07,East,500.0,4.0
26,Eve,Monitor,3.0,750.0,2024-01-21,West,2250.0,1.0
27,Diana,Tablet,1.0,500.0,2024-01-30,Unknown,500.0,1.0
28,Alice,Laptop,2.0,250.0,2024-04-06,North,500.0,4.0
29,Alice,Monitor,1.0,250.0,2024-01-28,Unknown,250.0,1.0
30,Charlie,Monitor,1.0,500.0,2024-04-20,West,500.0,4.0
31,Charlie,Phone,3.0,750.0,2024-03-04,West,2250.0,3.0
32,Bob,Laptop,2.0,750.0,2024-04-06,West,1500.0,4.0
33,Diana,Monitor,2.0,500.0,2024-03-09,Unknown,1000.0,3.0
34,Diana,Tablet,2.0,500.0,2024-03-01,West,1000.0,3.0
